relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
13832,11.202913205154566,0.6460500359535217,13.255050659179688,11.548050880432129
13853,10.48808629939861,,12.958050727844238,10.894950866699219
13854,,0.8320500254631042,,
13872,10.004226935630252,0.5550000071525574,12.598950386047363,10.37505054473877
13892,9.611870864896048,1.078950047492981,12.369000434875488,10.633950233459473
13912,8.340320353770329,2.3899500370025635,12.073050498962402,10.036050796508789
13932,7.366662954384169,3.366000175476074,11.754000663757324,9.580950736999512
13952,5.686126878587439,4.474050045013428,11.167950630187988,8.19795036315918
13973,,,10.450050354003906,7.228950500488281
13974,4.364547450146473,5.38800048828125,,
13993,2.957319238060995,5.11305046081543,9.241950035095215,6.645000457763672
14013,2.5273101662905844,4.300050258636475,7.939950466156006,6.927000522613525
14033,,,6.8710503578186035,7.309950351715088
14034,3.003341879739008,4.008000373840332,,
14052,,,,6.528000354766846
14053,2.5417575090360627,4.732950210571289,6.070950508117676,
14072,,,,4.222949981689453
14074,2.579667248522209,5.281050205230713,5.44005012512207,
14094,4.7632212095275985,5.881050109863281,4.786050319671631,0.9859500527381897
14112,,,,-2.442000150680542
14113,7.789937390135837,5.761950492858887,3.879000186920166,
14132,,,,-3.706050157546997
14133,9.255221980651399,5.058000087738037,2.889000177383423,
14152,,,,-3.052950143814087
14153,9.227336440867903,4.186950206756592,2.1040501594543457,
14179,8.33286950410021,3.9529502391815186,1.5420000553131104,-0.9970500469207764
14192,8.537588147536347,3.8020501136779785,1.0320000648498535,-0.5539500117301941
14212,,,,-1.224000096321106
14213,9.007843838030917,3.2850000858306885,0.9030000567436218,
14232,,,,-2.0190000534057617
14233,9.189525147499376,3.0049500465393066,1.2709500789642334,
14254,8.912406212525903,3.289950132369995,2.0299501419067383,-2.490000009536743
14273,8.081229286727853,3.9619503021240234,2.877000093460083,-2.1790502071380615
14293,,,,-0.5470499992370605
14294,6.267294188118959,4.8670501708984375,3.871950149536133,
14312,,,,0.697950005531311
14313,4.744273699373837,5.1160502433776855,4.89900016784668,
14333,2.936614369746904,4.668000221252441,5.875050067901611,2.2300500869750977
14353,1.0267981179003525,4.0410003662109375,7.050000190734863,3.8430001735687256
14373,1.3638794906216438,3.736950159072876,8.413949966430664,4.933950424194336
14393,3.094933947966087,3.2850000858306885,9.607950210571289,6.027000427246094
14414,4.044231007665039,3.4960501194000244,10.558050155639648,5.980050086975098
14433,5.37122070162468,3.061950206756592,11.716050148010254,5.257050037384033
14453,,,,5.539050102233887
14454,6.550161042308485,1.7179501056671143,12.054000854492188,
14474,8.374644713196233,0.4020000100135803,12.417000770568848,8.22195053100586
14493,10.91613880851725,-0.46905001997947693,13.09695053100586,11.395051002502441
14515,,,,14.03895092010498
14516,12.868252365621078,0.3630000054836273,14.092050552368164,
14534,13.108964115655626,1.537950038909912,14.836950302124023,14.199000358581543
14553,,,14.749950408935547,12.517050743103027
14554,12.252361459250416,0.89205002784729,,
14576,11.19041021418423,0.583050012588501,14.155050277709961,11.176950454711914
14600,10.442613639624174,1.2510000467300415,13.4010009765625,11.50005054473877
14616,9.9787593325715,1.1980500221252441,12.517951011657715,11.904000282287598
14633,9.08732036848554,1.5070500373840332,11.577000617980957,11.826000213623047
14653,7.79735592752115,2.3400001525878906,10.930950164794922,11.12700080871582
14674,6.080476203138501,3.4170000553131104,10.279950141906738,9.861000061035156
14693,4.223107919877219,4.089000225067139,9.594000816345215,8.217000007629395
14713,1.899712342521684,4.2330002784729,8.67495059967041,5.974950313568115
14733,0.6456521892823335,3.6030001640319824,7.617000579833984,4.647000312805176
14753,,,,4.692000389099121
14754,1.503206005808398,3.139050245285034,6.576000213623047,
14773,2.309279699772422,,5.716950416564941,4.777950286865234
14774,,3.5410501956939697,,
14793,,,,4.14900016784668
14794,3.1859358895575105,3.9619503021240234,4.963050365447998,
14814,,,,2.2159500122070312
